N,P,K,temperature,humidity,ph,month,season,soil_type,region,label
57.22,32.35,102.58,26.03,48.26,7.92,10,permanent,loamy_clay,upper_egypt,grapes
40.87,20.82,67.99,32.56,35.0,7.53,5,summer,sandy,upper_egypt,watermelon
50.09,23.66,62.1,19.26,67.31,8.04,10,winter,alluvial,north_delta,cabbage
30.72,14.63,28.02,14.99,56.2,7.97,2,winter,calcareous,north_coast,barley
27.79,29.97,45.63,18.22,65.79,7.89,4,winter,alluvial,north_delta,faba_bean
44.78,21.98,29.08,16.98,57.71,8.03,3,winter,alluvial,middle_egypt,coriander
47.27,19.17,67.44,26.91,42.63,7.74,3,permanent,loamy_clay,upper_egypt,pomegranate
40.49,16.96,85.56,29.36,51.02,7.6,5,summer,reclaimed,sinai_north,watermelon
57.36,23.29,55.42,20.8,46.15,7.99,4,winter,loamy_clay,middle_egypt,onion
75.15,43.84,136.03,17.16,58.13,7.75,1,winter,loamy_clay,middle_egypt,potato
37.36,18.6,33.26,16.61,58.02,7.75,3,winter,alluvial,north_delta,coriander
120.0,25.86,38.93,31.95,45.0,7.8,7,summer,alluvial,upper_egypt,maize
48.59,23.26,93.77,27.69,78.59,7.76,8,summer,alluvial,north_delta,cucumber
47.91,22.98,60.71,17.92,51.95,8.11,1,winter,alluvial,upper_egypt,garlic
16.47,20.8,25.94,15.22,55.08,7.69,1,winter,sandy,sinai_north,lentil
86.88,31.56,99.74,16.88,66.51,7.86,1,winter,loamy_clay,west_delta,tomato_winter
26.34,14.45,45.04,22.06,40.31,7.78,1,permanent,reclaimed,new_lands,olive
52.09,32.43,35.51,21.77,56.81,7.82,10,winter,loamy_clay,west_delta,sugar_beet
69.95,23.64,100.12,30.72,48.0,7.8,6,summer,alluvial,upper_egypt,eggplant
95.41,27.6,77.9,21.64,63.2,8.19,4,permanent,clayey_delta,south_delta,mint
23.31,24.3,23.79,16.9,51.67,7.82,2,winter,reclaimed,sinai_north,lentil
60.84,22.54,51.03,32.52,51.68,7.74,8,summer,sandy,east_delta,basil
62.02,17.32,69.13,29.07,57.86,7.85,9,permanent,loamy_clay,upper_egypt,mango
97.72,27.89,28.47,28.55,55.53,8.14,9,summer,clayey_delta,north_delta,maize
21.14,27.52,30.81,18.27,56.22,7.93,3,winter,loamy_clay,middle_egypt,faba_bean
54.67,18.27,84.37,27.32,64.11,7.6,8,summer,loamy_clay,west_delta,cucumber
77.41,29.89,73.26,27.22,62.51,7.49,9,summer,sandy,east_delta,pepper
48.01,34.36,36.42,19.1,57.72,7.96,2,winter,loamy_clay,south_delta,sugar_beet
69.68,30.47,82.4,22.18,48.67,8.01,11,permanent,loamy_clay,upper_egypt,grapes
45.89,30.79,29.24,20.19,54.89,8.01,11,winter,calcareous,west_delta,sugar_beet
57.94,19.89,99.66,25.1,63.12,7.8,4,summer,alluvial,middle_egypt,cucumber
67.95,25.33,61.68,25.66,59.87,7.83,5,summer,clayey_delta,north_delta,pepper
32.79,22.96,63.83,27.04,50.21,7.87,7,permanent,loamy_clay,middle_egypt,pomegranate
21.09,21.6,12.71,17.96,53.47,7.8,11,winter,alluvial,south_delta,berseem
52.4,25.89,39.88,16.19,56.87,7.86,1,winter,loamy_clay,south_delta,sugar_beet
31.35,26.39,22.65,17.94,58.93,8.01,1,winter,loamy_clay,south_delta,faba_bean
59.83,20.09,61.79,16.86,63.36,8.05,2,winter,clayey_delta,south_delta,cabbage
53.73,17.2,101.83,27.69,67.99,7.83,8,summer,loamy_clay,south_delta,cucumber
49.45,24.52,49.25,18.17,47.09,7.96,12,winter,loamy_clay,upper_egypt,onion
70.92,34.04,69.3,27.12,54.99,7.82,9,summer,clayey_delta,south_delta,pepper
34.22,18.51,34.26,20.24,54.67,7.83,10,winter,loamy_clay,west_delta,coriander
15.36,18.21,13.31,16.89,60.57,8.2,10,winter,clayey_delta,north_delta,berseem
64.84,24.01,16.75,18.42,65.0,7.94,11,winter,alluvial,north_delta,wheat
39.3,19.72,91.07,31.26,49.28,7.62,8,summer,reclaimed,west_delta,watermelon
63.52,27.16,58.86,16.65,53.12,7.94,1,winter,clayey_delta,south_delta,onion
99.42,24.14,31.18,31.4,45.02,7.89,9,summer,alluvial,upper_egypt,maize
66.69,29.05,65.91,29.04,63.38,7.72,8,summer,sandy,east_delta,pepper
93.13,37.22,111.37,28.02,61.17,7.91,8,summer,loamy_clay,west_delta,tomato_summer
66.06,29.57,69.09,29.2,64.9,7.5,7,summer,alluvial,east_delta,pepper
57.58,18.16,48.74,26.1,60.65,7.63,9,summer,loamy_clay,south_delta,basil
62.16,21.32,61.74,19.82,52.39,7.89,3,winter,alluvial,south_delta,onion
34.35,23.79,21.81,19.17,46.03,7.69,12,winter,loamy_clay,upper_egypt,cumin
59.98,34.48,93.34,16.01,71.82,8.17,1,winter,clayey_delta,north_delta,tomato_winter
68.98,21.86,18.18,13.18,65.0,7.8,12,winter,alluvial,north_delta,wheat
75.43,46.66,141.78,16.55,67.04,7.67,12,winter,alluvial,north_delta,potato
49.19,14.5,21.52,17.31,52.15,7.96,11,winter,calcareous,north_coast,barley
38.28,22.88,32.19,21.21,41.69,7.91,10,winter,alluvial,upper_egypt,cumin
37.59,11.72,49.0,33.8,25.42,8.02,5,permanent,reclaimed,aswan,date_palm
87.75,37.39,86.97,22.84,69.99,8.04,9,winter,clayey_delta,north_delta,tomato_winter
105.0,19.66,49.55,28.11,72.99,7.83,7,summer,alluvial,north_delta,rice
74.04,25.06,20.35,21.88,52.19,7.75,4,winter,alluvial,upper_egypt,wheat
19.91,32.16,49.02,14.43,57.97,7.72,12,winter,alluvial,north_delta,faba_bean
65.97,28.56,100.15,31.74,46.36,7.86,7,permanent,loamy_clay,upper_egypt,grapes
95.12,24.29,85.15,21.02,63.43,8.01,3,permanent,alluvial,east_delta,citrus
35.91,16.33,29.32,13.74,56.53,7.75,12,winter,loamy_clay,middle_egypt,coriander
30.47,25.79,29.51,17.86,49.87,8.03,2,winter,calcareous,west_delta,cumin
58.4,26.61,67.7,15.7,64.94,8.15,2,winter,clayey_delta,north_delta,cabbage
114.0,24.43,46.24,30.0,47.01,7.77,5,summer,alluvial,upper_egypt,maize
85.91,32.68,69.3,22.12,65.33,7.92,11,permanent,alluvial,middle_egypt,mint
96.77,22.13,82.0,27.28,46.87,7.78,10,permanent,alluvial,middle_egypt,citrus
88.22,29.96,56.65,21.79,64.88,7.97,12,permanent,loamy_clay,middle_egypt,mint
38.37,18.0,43.5,23.74,49.02,7.84,10,permanent,calcareous,west_delta,olive
110.6,32.99,25.83,32.75,45.0,7.66,7,summer,loamy_clay,upper_egypt,maize
54.12,24.51,43.39,26.68,57.16,7.94,5,summer,loamy_clay,middle_egypt,basil
110.57,34.4,143.79,21.31,64.02,7.63,12,permanent,loamy_clay,upper_egypt,banana
29.73,14.93,44.89,25.96,45.9,7.88,9,permanent,reclaimed,west_delta,olive
104.63,34.01,145.59,28.82,63.96,7.91,7,permanent,alluvial,upper_egypt,banana
34.14,7.61,58.66,33.96,32.06,7.86,9,permanent,sandy,upper_egypt,date_palm
56.26,21.71,52.91,24.78,64.13,7.95,4,summer,alluvial,north_delta,basil
33.09,25.37,33.93,18.78,43.12,7.61,3,winter,sandy,new_lands,cumin
56.71,30.56,50.23,17.82,59.47,8.09,1,winter,clayey_delta,south_delta,sugar_beet
33.82,18.67,41.38,17.58,50.42,7.95,11,winter,alluvial,middle_egypt,coriander
39.04,18.28,22.74,20.84,38.88,7.99,4,winter,reclaimed,new_lands,barley
17.96,16.91,14.72,18.62,50.13,7.88,10,winter,alluvial,middle_egypt,berseem
84.65,38.0,119.36,27.15,63.29,7.85,6,summer,alluvial,north_delta,tomato_summer
79.77,46.06,132.62,19.66,56.04,7.89,11,winter,loamy_clay,middle_egypt,potato
54.39,16.75,86.43,22.18,65.32,7.94,4,summer,alluvial,east_delta,cucumber
89.35,17.66,80.7,29.23,58.54,7.85,8,permanent,reclaimed,middle_egypt,citrus
33.95,25.29,33.0,19.34,45.49,7.77,11,winter,alluvial,upper_egypt,cumin
55.32,24.18,67.48,15.26,69.19,7.74,1,winter,loamy_clay,middle_egypt,cabbage
34.59,22.91,29.71,19.24,51.21,7.82,12,winter,loamy_clay,west_delta,cumin
44.52,16.12,76.44,30.55,39.66,7.62,4,summer,sandy,upper_egypt,watermelon
51.65,18.12,35.13,15.83,54.23,7.86,1,winter,alluvial,upper_egypt,wheat
84.77,28.39,71.87,30.98,48.83,7.87,6,summer,sandy,upper_egypt,eggplant
23.54,19.0,32.19,19.05,40.13,7.7,12,winter,sandy,new_lands,cumin
11.55,18.63,23.39,15.89,52.43,7.77,3,winter,reclaimed,west_delta,lentil
85.62,30.13,83.76,26.04,50.0,7.74,4,permanent,loamy_clay,middle_egypt,citrus
84.23,33.02,102.4,18.51,61.74,7.82,2,winter,loamy_clay,south_delta,tomato_winter
56.89,23.84,63.78,15.1,60.92,8.09,2,winter,clayey_delta,south_delta,cabbage
22.36,30.2,39.15,16.45,59.62,7.91,3,winter,alluvial,north_delta,faba_bean
30.35,13.38,51.67,19.32,49.14,7.97,2,permanent,reclaimed,west_delta,olive
19.76,19.26,24.87,16.95,55.12,7.87,12,winter,reclaimed,west_delta,lentil
84.69,45.19,143.25,21.94,51.43,7.59,10,winter,alluvial,middle_egypt,potato
71.48,31.0,85.71,26.15,61.87,7.6,6,summer,alluvial,south_delta,pepper
54.2,18.88,105.28,26.62,67.05,7.81,6,summer,loamy_clay,west_delta,cucumber
59.84,22.58,63.13,27.16,58.09,7.69,6,summer,loamy_clay,south_delta,basil
43.64,29.01,37.76,20.02,55.54,7.94,4,winter,calcareous,west_delta,sugar_beet
34.87,14.52,84.56,31.91,35.0,7.63,5,summer,sandy,upper_egypt,watermelon
68.09,19.82,50.92,16.93,56.74,7.96,1,winter,loamy_clay,south_delta,onion
83.19,20.74,78.75,25.32,47.54,7.88,11,permanent,reclaimed,new_lands,citrus
75.97,19.16,93.24,27.35,57.0,7.82,4,summer,clayey_delta,south_delta,eggplant
82.67,23.67,96.67,30.47,58.14,7.87,8,summer,alluvial,east_delta,eggplant
114.76,32.03,31.1,29.84,56.6,7.69,5,summer,alluvial,south_delta,maize
23.66,27.3,45.09,15.76,57.53,7.88,1,winter,loamy_clay,middle_egypt,faba_bean
109.76,27.29,21.49,25.49,62.95,7.63,6,summer,alluvial,north_delta,maize
35.92,23.76,31.19,18.0,53.75,8.06,2,winter,calcareous,west_delta,cumin
51.87,25.76,53.25,18.4,54.39,8.08,10,winter,loamy_clay,south_delta,cabbage
49.01,20.46,58.3,25.24,64.7,7.96,5,summer,alluvial,north_delta,basil
70.14,22.15,15.74,17.02,51.49,7.86,1,winter,loamy_clay,upper_egypt,wheat
31.9,10.66,56.64,30.83,40.17,7.87,10,permanent,sandy,upper_egypt,date_palm
32.97,15.3,53.06,24.16,48.8,7.87,7,permanent,calcareous,north_coast,olive
82.88,35.16,95.76,17.41,70.48,7.79,12,winter,alluvial,north_delta,tomato_winter
95.04,28.35,77.34,25.43,74.61,8.28,5,permanent,clayey_delta,north_delta,mint
91.62,28.36,74.22,23.44,73.48,7.8,5,permanent,alluvial,north_delta,mint
39.99,20.28,25.43,20.52,47.44,7.74,11,winter,loamy_clay,middle_egypt,cumin
90.17,40.26,120.35,28.74,65.85,7.7,6,summer,alluvial,north_delta,tomato_summer
19.8,22.29,10.06,17.77,59.66,7.86,4,winter,alluvial,south_delta,berseem
80.61,30.42,65.54,18.59,71.9,8.14,3,permanent,clayey_delta,north_delta,mint
42.87,21.25,58.72,19.78,57.94,7.7,10,winter,loamy_clay,middle_egypt,cabbage
76.33,24.39,82.43,29.3,63.02,7.88,9,summer,alluvial,north_delta,eggplant
31.74,28.04,27.25,18.07,58.86,7.91,2,winter,loamy_clay,west_delta,cumin
74.65,19.23,80.56,31.45,50.34,7.97,7,summer,loamy_clay,upper_egypt,eggplant
81.74,35.17,67.58,23.19,66.71,7.69,8,permanent,alluvial,north_delta,mint
42.13,15.47,65.07,28.3,46.94,7.94,9,permanent,loamy_clay,middle_egypt,pomegranate
63.62,16.94,85.4,25.16,68.91,8.3,5,summer,clayey_delta,east_delta,cucumber
43.44,16.8,76.8,26.34,40.42,7.96,7,permanent,reclaimed,middle_egypt,pomegranate
66.43,36.92,90.18,25.65,56.69,7.86,5,permanent,calcareous,west_delta,grapes
22.94,22.43,26.0,15.32,56.99,7.85,1,winter,loamy_clay,south_delta,berseem
56.46,17.88,106.31,24.49,75.79,8.1,8,summer,clayey_delta,east_delta,cucumber
105.39,35.56,166.9,27.98,60.39,7.78,5,permanent,alluvial,upper_egypt,banana
76.45,22.84,87.07,31.24,49.3,7.9,8,summer,alluvial,middle_egypt,eggplant
106.35,40.86,114.22,28.56,56.75,8.09,6,summer,clayey_delta,east_delta,tomato_summer
81.09,25.75,102.4,20.78,61.37,7.53,1,permanent,sandy,east_delta,citrus
28.96,27.24,30.24,17.95,56.1,7.82,1,winter,loamy_clay,west_delta,cumin
92.97,31.76,65.34,20.85,74.83,8.24,4,permanent,clayey_delta,north_delta,mint
33.34,16.72,47.44,22.7,49.81,7.81,11,permanent,sandy,sinai_north,olive
70.66,43.7,127.68,16.86,70.13,7.7,1,winter,alluvial,south_delta,potato
69.77,26.15,60.1,26.98,55.62,8.09,5,summer,loamy_clay,south_delta,cotton
70.96,21.95,96.33,21.38,69.97,8.22,3,summer,clayey_delta,north_delta,cucumber
79.58,33.17,110.2,28.48,64.01,7.85,5,summer,alluvial,north_delta,tomato_summer
13.67,22.72,20.22,17.05,63.19,7.86,2,winter,alluvial,north_delta,berseem
61.5,25.61,61.42,24.56,43.55,7.85,4,permanent,reclaimed,new_lands,mango
16.31,20.1,23.92,17.66,42.12,7.87,12,winter,loamy_clay,middle_egypt,lentil
37.71,28.63,29.03,19.87,50.92,7.84,3,winter,calcareous,west_delta,cumin
35.54,13.6,38.9,16.43,54.64,7.81,1,winter,loamy_clay,middle_egypt,coriander
75.01,26.57,5.92,18.42,58.77,8.19,3,winter,clayey_delta,south_delta,wheat
84.03,39.6,125.25,17.4,64.49,7.75,11,winter,alluvial,south_delta,potato
30.03,13.55,53.66,26.39,43.08,7.84,6,permanent,reclaimed,new_lands,olive
29.86,25.67,31.41,19.5,52.67,7.89,3,winter,calcareous,west_delta,cumin
50.22,21.43,73.0,16.23,58.66,8.08,3,winter,loamy_clay,middle_egypt,garlic
98.14,38.01,132.76,27.68,69.36,8.0,6,permanent,clayey_delta,south_delta,banana
17.94,20.41,11.69,17.87,59.03,7.81,11,winter,loamy_clay,middle_egypt,berseem
38.58,25.53,27.35,17.11,40.99,7.68,1,winter,loamy_clay,upper_egypt,cumin
55.61,18.1,67.9,21.19,54.43,7.94,10,winter,loamy_clay,middle_egypt,garlic
94.26,20.42,45.53,30.01,67.71,7.91,9,summer,clayey_delta,north_delta,rice
38.45,8.41,45.62,31.47,31.58,7.9,11,permanent,sandy,upper_egypt,date_palm
118.53,32.44,152.97,27.57,60.0,7.7,6,permanent,loamy_clay,upper_egypt,banana
60.04,22.55,53.78,24.39,59.53,7.93,6,summer,loamy_clay,south_delta,basil
104.85,42.06,146.4,24.98,60.0,8.0,4,permanent,clayey_delta,south_delta,banana
55.91,17.82,61.9,26.69,57.27,7.69,8,summer,alluvial,middle_egypt,basil
39.39,12.41,30.44,19.32,56.89,7.72,1,winter,alluvial,south_delta,coriander
41.72,15.31,23.94,14.54,58.49,7.73,2,winter,loamy_clay,west_delta,coriander
22.55,26.87,16.5,16.83,53.08,7.81,3,winter,loamy_clay,middle_egypt,berseem
26.86,27.3,21.01,19.57,47.23,7.95,3,winter,alluvial,middle_egypt,cumin
29.94,33.2,32.45,18.67,53.61,7.8,3,winter,alluvial,middle_egypt,faba_bean
65.19,25.28,48.72,17.64,52.22,8.1,1,winter,loamy_clay,upper_egypt,onion
72.94,42.9,139.36,17.1,66.63,7.78,1,winter,alluvial,north_delta,potato
75.08,34.29,94.54,25.43,42.68,7.85,5,permanent,loamy_clay,upper_egypt,grapes
42.53,19.86,77.87,31.88,35.25,7.66,8,summer,sandy,new_lands,watermelon
64.27,30.34,70.21,26.42,66.38,7.94,9,summer,clayey_delta,north_delta,pepper
19.93,15.87,19.71,18.3,53.61,7.86,10,winter,loamy_clay,middle_egypt,berseem
101.82,24.88,31.74,30.02,58.17,7.83,5,summer,loamy_clay,south_delta,maize
25.38,16.84,51.67,19.3,39.88,7.75,1,permanent,calcareous,new_lands,olive
82.31,20.55,92.29,30.78,53.02,7.81,7,summer,loamy_clay,middle_egypt,eggplant
8.92,18.93,6.41,17.65,64.69,7.87,11,winter,alluvial,north_delta,berseem
67.15,43.29,121.75,20.28,68.37,7.64,10,winter,alluvial,east_delta,potato
61.63,20.8,62.72,21.21,46.98,7.94,3,winter,alluvial,upper_egypt,onion
77.23,13.16,94.66,31.78,58.53,7.85,5,summer,alluvial,north_delta,eggplant
59.12,29.0,95.57,26.48,44.1,7.87,4,permanent,loamy_clay,middle_egypt,grapes
20.32,11.31,53.82,36.6,26.32,7.85,7,permanent,sandy,upper_egypt,date_palm
48.12,31.53,79.32,27.81,43.34,7.51,5,permanent,sandy,upper_egypt,grapes
90.65,26.66,90.98,25.25,63.41,7.81,11,permanent,alluvial,east_delta,citrus
107.43,32.94,141.92,27.22,67.06,7.91,11,permanent,loamy_clay,middle_egypt,banana
37.2,20.43,87.86,30.54,47.03,7.6,6,summer,calcareous,sinai_north,watermelon
40.47,8.26,68.44,27.99,49.15,7.52,4,summer,sandy,east_delta,watermelon
60.85,18.58,68.02,20.61,47.06,8.08,10,winter,alluvial,upper_egypt,garlic
32.62,19.81,28.96,15.88,53.87,7.52,2,winter,alluvial,middle_egypt,coriander
94.42,25.46,77.68,27.86,45.0,8.17,9,permanent,reclaimed,new_lands,citrus
22.94,15.73,14.67,15.89,55.52,7.83,1,winter,loamy_clay,middle_egypt,berseem
53.26,21.57,94.64,28.69,72.37,7.9,7,summer,alluvial,north_delta,cucumber
46.2,18.8,68.35,17.86,53.29,7.97,4,winter,alluvial,middle_egypt,garlic
60.95,28.37,54.97,28.37,57.18,7.56,4,summer,alluvial,upper_egypt,pepper
50.14,26.59,51.84,15.42,50.73,7.92,1,winter,loamy_clay,middle_egypt,onion
108.89,28.1,31.52,32.48,45.81,7.95,6,summer,loamy_clay,middle_egypt,maize
69.36,19.69,76.92,28.33,51.8,7.69,5,permanent,sandy,new_lands,mango
95.55,34.4,92.35,26.1,56.59,7.93,3,summer,loamy_clay,west_delta,tomato_summer
93.39,35.49,68.83,22.92,61.46,8.17,3,permanent,clayey_delta,south_delta,mint
98.83,35.33,121.27,27.96,57.79,7.74,5,summer,loamy_clay,south_delta,tomato_summer
49.04,22.8,50.63,19.91,53.36,7.98,3,winter,clayey_delta,south_delta,onion
21.49,14.35,45.03,26.04,49.99,7.9,9,permanent,reclaimed,sinai_north,olive
37.43,11.47,57.03,36.01,28.38,8.04,6,permanent,reclaimed,aswan,date_palm
29.26,14.71,46.01,19.44,44.62,7.82,1,permanent,sandy,sinai_north,olive
60.87,19.53,49.53,20.43,47.24,7.94,10,winter,loamy_clay,middle_egypt,onion
59.19,19.1,18.18,20.52,57.63,8.01,4,winter,loamy_clay,middle_egypt,wheat
95.9,22.5,41.32,29.13,72.99,7.78,8,summer,alluvial,south_delta,rice
111.88,36.67,150.59,24.46,60.0,7.97,1,permanent,alluvial,south_delta,banana
53.32,34.88,43.09,18.47,54.75,8.01,4,winter,calcareous,west_delta,sugar_beet
87.09,29.67,76.56,26.14,73.92,7.93,10,permanent,alluvial,north_delta,mint
11.98,20.54,13.31,18.41,56.41,8.05,10,winter,clayey_delta,north_delta,berseem
82.18,36.66,91.37,20.44,67.13,7.81,10,winter,loamy_clay,west_delta,tomato_winter
72.85,39.94,86.05,19.05,60.48,7.71,12,winter,loamy_clay,west_delta,tomato_winter
103.36,31.92,53.99,24.69,73.82,8.02,6,permanent,clayey_delta,north_delta,mint
66.27,27.44,92.9,24.6,39.0,7.77,5,permanent,calcareous,new_lands,grapes
79.48,25.43,73.81,27.93,52.09,7.7,4,permanent,reclaimed,middle_egypt,mango
91.75,21.59,97.11,29.48,56.89,7.94,9,permanent,alluvial,middle_egypt,citrus
82.85,22.56,79.67,23.61,62.83,7.49,3,permanent,sandy,east_delta,citrus
81.18,40.11,126.4,18.06,58.43,7.72,2,winter,loamy_clay,middle_egypt,potato
61.57,29.08,102.28,27.13,46.77,7.42,10,permanent,sandy,upper_egypt,grapes
100.35,34.05,160.92,28.68,65.68,7.65,6,permanent,alluvial,south_delta,banana
59.38,20.11,45.73,27.08,60.81,7.99,6,summer,alluvial,east_delta,basil
63.52,30.03,103.13,23.6,56.86,7.98,10,permanent,reclaimed,sinai_north,grapes
62.6,18.14,78.03,18.72,49.65,7.96,3,winter,loamy_clay,middle_egypt,garlic
16.86,18.54,25.13,15.44,41.61,7.9,3,winter,reclaimed,new_lands,lentil
62.43,22.83,63.3,28.85,60.38,7.59,7,summer,sandy,east_delta,basil
104.02,36.36,140.19,29.92,60.0,7.73,5,permanent,loamy_clay,upper_egypt,banana
73.54,29.15,59.82,19.68,67.88,7.81,10,winter,alluvial,north_delta,cabbage
102.56,34.04,31.61,30.19,47.72,7.96,5,summer,alluvial,south_delta,maize
113.25,34.48,140.82,30.02,60.55,7.71,9,permanent,alluvial,middle_egypt,banana
61.78,29.47,23.39,16.07,47.22,7.96,3,winter,alluvial,upper_egypt,wheat
77.94,26.64,73.55,30.42,52.21,8.1,7,summer,loamy_clay,south_delta,cotton
96.77,25.9,23.66,30.86,45.0,7.89,6,summer,loamy_clay,middle_egypt,maize
34.63,14.99,28.03,19.73,55.06,8.03,11,winter,calcareous,north_coast,barley
55.79,25.97,73.17,21.58,48.26,8.0,2,permanent,reclaimed,middle_egypt,grapes
64.6,24.16,95.14,27.59,51.44,7.84,6,permanent,loamy_clay,middle_egypt,mango
48.79,35.25,49.03,18.55,51.33,8.26,11,winter,clayey_delta,south_delta,sugar_beet
83.06,43.6,118.2,17.67,68.04,7.73,2,winter,loamy_clay,west_delta,potato
46.67,34.07,37.41,19.0,55.89,8.24,4,winter,clayey_delta,north_delta,sugar_beet
56.4,18.22,61.83,17.95,49.12,8.01,12,winter,loamy_clay,upper_egypt,onion
84.02,27.2,30.71,27.87,65.0,7.98,9,summer,alluvial,south_delta,rice
58.09,23.33,67.67,12.21,58.16,7.71,1,winter,alluvial,middle_egypt,cabbage
34.7,14.7,34.03,18.71,48.48,8.04,12,winter,alluvial,middle_egypt,coriander
76.24,19.8,45.75,27.99,67.97,7.85,6,summer,alluvial,south_delta,rice
78.94,29.99,86.45,17.06,72.21,7.94,1,winter,loamy_clay,west_delta,tomato_winter
34.73,7.63,59.07,30.35,33.31,7.87,3,permanent,calcareous,new_lands,date_palm
63.35,17.62,95.27,26.01,71.5,7.56,4,summer,sandy,east_delta,cucumber
62.86,21.5,73.06,26.33,56.15,7.89,4,permanent,reclaimed,middle_egypt,mango
35.2,25.17,25.32,22.0,44.78,7.66,10,winter,sandy,new_lands,cumin
102.96,28.79,143.59,26.09,61.14,8.0,4,permanent,clayey_delta,south_delta,banana
82.78,27.22,71.01,29.75,58.06,7.6,8,permanent,sandy,east_delta,mango
53.74,31.67,96.57,24.07,55.12,8.08,3,permanent,calcareous,sinai_north,grapes
26.39,11.78,48.82,36.98,26.16,7.82,9,permanent,sandy,new_lands,date_palm
80.82,22.06,84.45,23.04,63.55,7.82,12,permanent,loamy_clay,west_delta,citrus
44.16,23.08,70.48,27.28,48.21,7.94,8,permanent,reclaimed,middle_egypt,pomegranate
76.62,18.4,85.64,30.13,49.93,7.76,9,permanent,sandy,upper_egypt,mango
84.37,21.72,41.04,26.62,65.0,7.84,7,summer,clayey_delta,south_delta,rice
79.49,42.45,121.61,17.13,58.79,7.72,12,winter,loamy_clay,middle_egypt,potato
40.09,14.6,32.38,18.06,56.27,7.98,11,winter,calcareous,sinai_north,barley
90.83,32.83,66.27,24.68,68.68,7.86,5,permanent,loamy_clay,south_delta,mint
59.93,23.15,52.97,18.43,53.92,7.99,11,winter,loamy_clay,middle_egypt,onion
41.67,11.68,55.09,33.0,21.65,8.06,8,permanent,reclaimed,aswan,date_palm
90.92,18.28,99.45,23.89,56.18,8.06,1,permanent,loamy_clay,upper_egypt,citrus
91.32,29.35,53.99,29.33,65.34,7.76,5,summer,alluvial,south_delta,rice
92.83,21.28,47.37,27.65,65.77,7.83,6,summer,clayey_delta,south_delta,rice
55.66,17.44,92.79,21.02,73.53,7.83,3,summer,alluvial,north_delta,cucumber
36.97,21.91,25.3,17.74,49.27,7.74,11,winter,alluvial,upper_egypt,cumin
86.32,19.34,83.22,31.2,53.41,7.86,9,summer,loamy_clay,south_delta,eggplant
84.44,30.19,87.09,22.62,66.17,8.16,10,winter,clayey_delta,north_delta,tomato_winter
64.55,25.75,13.91,18.84,58.4,7.77,11,winter,loamy_clay,south_delta,wheat
41.82,11.97,73.31,34.65,35.0,7.62,8,summer,sandy,new_lands,watermelon
78.23,39.06,101.62,17.88,67.94,7.93,12,winter,loamy_clay,south_delta,tomato_winter
103.3,35.57,165.19,28.15,68.78,7.8,7,permanent,alluvial,middle_egypt,banana
51.54,17.89,57.16,17.48,57.29,8.06,2,winter,alluvial,south_delta,garlic
53.19,22.66,82.18,31.95,48.63,8.01,7,permanent,reclaimed,new_lands,mango
63.36,23.66,61.86,16.31,69.45,8.1,11,winter,clayey_delta,north_delta,cabbage
71.84,23.48,56.86,18.78,41.75,8.01,12,winter,loamy_clay,upper_egypt,onion
38.88,16.26,30.4,18.81,58.29,7.69,10,winter,alluvial,north_delta,coriander
33.98,26.65,37.46,16.4,43.08,8.04,1,winter,calcareous,new_lands,cumin
38.35,21.88,78.48,24.59,40.99,7.77,2,permanent,loamy_clay,upper_egypt,pomegranate
65.22,32.78,61.44,28.44,65.5,7.62,9,summer,alluvial,north_delta,pepper
93.83,36.03,120.56,27.85,58.07,7.77,6,summer,loamy_clay,middle_egypt,tomato_summer
83.3,32.98,98.76,23.98,61.96,8.16,3,summer,clayey_delta,east_delta,tomato_summer
86.27,42.7,123.37,17.4,65.63,7.68,1,winter,loamy_clay,west_delta,potato
31.5,15.05,45.39,25.26,53.04,7.93,8,permanent,reclaimed,sinai_north,olive
45.39,17.3,83.98,24.2,46.94,7.49,4,summer,sandy,east_delta,watermelon
120.0,31.66,144.14,25.72,67.59,7.81,2,permanent,alluvial,south_delta,banana
91.91,25.1,44.43,27.72,65.0,7.9,9,summer,alluvial,south_delta,rice
55.94,22.0,49.49,26.74,56.42,7.83,5,summer,loamy_clay,upper_egypt,basil
88.96,22.0,44.37,31.48,66.27,7.85,9,summer,clayey_delta,south_delta,rice
42.07,14.89,24.58,16.08,52.63,7.86,1,winter,calcareous,north_coast,barley
34.84,19.53,84.08,31.21,44.35,7.63,4,summer,sandy,upper_egypt,watermelon
108.18,34.04,139.23,25.17,71.23,7.63,10,permanent,alluvial,middle_egypt,banana
53.5,24.29,57.64,21.29,36.82,7.78,4,winter,alluvial,upper_egypt,onion
28.48,14.83,53.28,18.71,46.66,7.9,2,permanent,sandy,sinai_north,olive
29.27,9.29,55.95,27.61,25.85,8.02,1,permanent,reclaimed,new_lands,date_palm
65.87,33.56,66.33,27.13,61.16,7.5,9,summer,alluvial,south_delta,pepper
40.37,20.18,82.03,34.64,35.0,7.66,6,summer,sandy,upper_egypt,watermelon
73.28,21.49,102.64,30.83,59.93,7.85,9,summer,alluvial,south_delta,eggplant
107.16,33.16,148.69,21.86,60.0,7.95,2,permanent,alluvial,middle_egypt,banana
20.32,21.45,8.34,15.91,59.06,7.84,12,winter,loamy_clay,middle_egypt,berseem
